n_holders,parametro_dist,n_rodadas,reinveste_recompensa,rodada,gini
200,1.1,5,0.25,3,0.8250042743744199
200,1.1,5,0.25,4,0.8434999437127129
200,1.1,5,0.25,5,0.8576562226328561
200,1.1,5,0.25,1,0.6260739688120873
200,1.1,5,0.25,2,0.6831569532443966
200,1.1,5,0.25,3,0.7292973967097152
200,1.1,5,0.25,4,0.7661543204287931
200,1.1,5,0.25,5,0.7949840033975102
200,1.1,5,0.25,1,0.7878997307585702
200,1.1,5,0.25,2,0.8138680170230204
200,1.1,5,0.25,3,0.8341515938785742
200,1.1,5,0.25,4,0.850694626171405
200,1.1,5,0.25,5,0.863023796909232
200,1.1,5,0.25,1,0.7180664524776652
200,1.1,5,0.25,2,0.7519430710869468
200,1.1,5,0.25,3,0.7833234795036734
200,1.1,5,0.25,4,0.8094627407178527
200,1.1,5,0.25,5,0.8300144041342792
200,1.1,5,0.25,1,0.6013606494507995
200,1.1,5,0.25,2,0.6637966980078451
200,1.1,5,0.25,3,0.7141871392113066
200,1.1,5,0.25,4,0.754075035429971
200,1.1,5,0.25,5,0.7848310479874412
200,1.1,5,0.5,1,0.6456072503093346
200,1.1,5,0.5,2,0.7348161580696702
200,1.1,5,0.5,3,0.7928862707318847
200,1.1,5,0.5,4,0.8293242282348121
200,1.1,5,0.5,5,0.8519233849967363
200,1.1,5,0.5,1,0.8760800401916735
200,1.1,5,0.5,2,0.8999149891136398
200,1.1,5,0.5,3,0.914690038869197
200,1.1,5,0.5,4,0.9190923722236108
200,1.1,5,0.5,5,0.9203769699520845
200,1.1,5,0.5,1,0.6217035175719339
200,1.1,5,0.5,2,0.720166558480533
200,1.1,5,0.5,3,0.784766165766251
200,1.1,5,0.5,4,0.8252998899947064
200,1.1,5,0.5,5,0.8513731454506548
200,1.1,5,0.5,1,0.5916551449410119
200,1.1,5,0.5,2,0.699531476202929
200,1.1,5,0.5,3,0.7692353651229562
200,1.1,5,0.5,4,0.8146288029333972
200,1.1,5,0.5,5,0.8431282184356295
200,1.1,5,0.5,1,0.7338121095498895
200,1.1,5,0.5,2,0.7936645489367797
200,1.1,5,0.5,3,0.8336956492897218
200,1.1,5,0.5,4,0.859576996673658
200,1.1,5,0.5,5,0.875317984026668
200,1.1,5,0.5,1,0.5463180851092801
200,1.1,5,0.5,2,0.6681349127183243
200,1.1,5,0.5,3,0.7496497657176633
200,1.1,5,0.5,4,0.8024114557074908
200,1.1,5,0.5,5,0.8362071837624028
200,1.1,5,0.5,1,0.5742244880318341
200,1.1,5,0.5,2,0.6889657326752028
200,1.1,5,0.5,3,0.7643123075520124
200,1.1,5,0.5,4,0.812579581810452
200,1.1,5,0.5,5,0.8434274196107463
