id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-185907,21,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,stake,7.433333,0.180357,30,0
20260703-185907,21,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,eleito,7.166667,0.135641,30,0
20260703-185907,21,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,22,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,stake,23.933333,2.203771,30,0
20260703-185907,22,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,eleito,4.833333,0.135641,30,0
20260703-185907,22,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,produzido,4.866667,0.123724,30,0
20260703-185907,23,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,stake,7.7,0.166789,30,0
20260703-185907,23,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,eleito,7.533333,0.181577,30,0
20260703-185907,23,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,24,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,stake,7.066667,0.090788,30,0
20260703-185907,24,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,eleito,7.533333,0.181577,30,0
20260703-185907,24,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,25,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,stake,23.933333,2.203771,30,0
20260703-185907,25,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,eleito,4.866667,0.155367,30,0
20260703-185907,25,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,produzido,4.933333,0.130667,30,0
20260703-185907,26,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,26,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,eleito,7.533333,0.181577,30,0
20260703-185907,26,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,27,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,27,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,eleito,7.433333,0.180357,30,0
20260703-185907,27,G10,concentracao_de_recompensas,200,pareto,2.0,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,28,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,stake,7.6,1.985961,30,0
20260703-185907,28,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,eleito,4.766667,0.180357,30,0
20260703-185907,28,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,produzido,4.666667,0.171574,30,0
20260703-185907,29,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,stake,5.633333,0.518851,30,0
20260703-185907,29,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,eleito,6.566667,0.180357,30,0
20260703-185907,29,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,produzido,6.433333,0.180357,30,0
20260703-185907,30,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,stake,6.266667,0.324633,30,0
20260703-185907,30,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,eleito,7.033333,0.065333,30,0
20260703-185907,30,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,produzido,6.933333,0.090788,30,0
20260703-185907,31,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,stake,7.6,1.985961,30,0
20260703-185907,31,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,eleito,4.8,0.173281,30,0
20260703-185907,31,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,produzido,4.766667,0.180357,30,0
20260703-185907,32,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,stake,6.6,0.241426,30,0
20260703-185907,32,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,eleito,7.133333,0.123724,30,0
20260703-185907,32,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,33,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,33,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,eleito,7.3,0.166789,30,0
20260703-185907,33,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,34,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,stake,7.6,1.985961,30,0
20260703-185907,34,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,eleito,4.733333,0.186377,30,0
20260703-185907,34,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,coef_nakamoto,produzido,4.7,0.191441,30,0
20260703-185907,35,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,35,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,eleito,7.4,0.178305,30,0
20260703-185907,35,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,36,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,stake,7.0,0.0,30,0
20260703-185907,36,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,eleito,7.433333,0.180357,30,0
20260703-185907,36,G10,concentracao_de_recompensas,500,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,37,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,stake,27.8,3.734715,30,0
20260703-185907,37,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,eleito,4.766667,0.153939,30,0
20260703-185907,37,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,coef_nakamoto,produzido,4.8,0.145585,30,0
20260703-185907,38,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,stake,7.833333,0.364972,30,0
20260703-185907,38,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,eleito,7.0,0.0,30,0
20260703-185907,38,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,coef_nakamoto,produzido,6.933333,0.090788,30,0
20260703-185907,39,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,stake,7.366667,0.220056,30,0
20260703-185907,39,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,eleito,7.166667,0.135641,30,0
20260703-185907,39,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,coef_nakamoto,produzido,7.0,0.0,30,0
20260703-185907,40,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,stake,27.8,3.734715,30,0
20260703-185907,40,G10,concentracao_de_recompensas,500,pareto,1.5,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,coef_nakamoto,eleito,4.866667,0.123724,30,0
